id,ad,fiyat,stok
1001,Kablosuz Kulaklık X200,1249.9,24
1002,Akıllı Saat Fit 3,2899.0,12
1003,Seramik Kupa Seti (4'lü),349.5,40
1004,Python ile Otomasyon,289.0,18
1005,Yoga Matı 6 mm,459.9,0
1006,Mekanik Klavye TR Q,1899.0,7
1007,Kulak İçi Kulaklık Mini,499.9,55
1008,Masa Lambası LED,649.0,15
1009,Termos 750 ml,389.9,33
1010,Koşu Ayakkabısı Hafif,1749.0,9
1011,Bluetooth Hoparlör Taşınabilir,999.0,21
1012,Web Kamerası 1080p,1149.9,3
1013,Not Defteri A5 Noktalı,119.9,120
1014,Veri Bilimine Giriş,315.0,11
1015,Dambıl Seti 2×5 kg,899.0,6
1016,Kablosuz Mouse Sessiz,379.9,48
1017,Kahve Değirmeni Manuel,729.0,14
1018,Gürültü Önleyici Kulaklık,3499.0,5
1019,Ergonomik Sandalye Minderi,549.0,22
1020,Algoritmalar Kolay Anlatım,342.5,0
1021,USB-C Çoklayıcı 7'si 1 Arada,849.9,30
1022,Bambu Kesme Tahtası,229.9,60
1023,Atlama İpi Rulmanlı,189.9,44
1024,Masaüstü Mikrofon USB,1399.0,8
1025,Kalem Seti 12 Renk,99.9,200
1026,Taşınabilir SSD 1 TB,2649.0,10
1027,Linux Komut Satırı,268.0,25
1028,Aroma Difüzörü,579.0,2
1029,Bisiklet Kaskı,1099.0,13
1030,Kulaklık Standı Ahşap,399.0,35
1031,Monitör Yükseltici,489.9,17
1032,Akıllı Priz Wi-Fi,319.9,64
1033,Cam Saklama Kabı Seti,449.0,27
1034,Temiz Kod Rehberi,395.0,9
1035,Pilates Topu 65 cm,279.9,19
1036,Pikap Plak Çalar,4299.0,4
1037,Dosya Organizeri,179.9,53
1038,Powerbank 20000 mAh,949.0,0
1039,Çelik Tencere Seti,2199.0,6
1040,Web Tasarımın Temelleri,299.9,16
1041,Direnç Bandı Seti,249.0,38
1042,Çocuk Kulaklık Renkli,449.9,29
1043,Yazı Tahtası Beyaz,899.9,5
1044,Tablet Kalemi,1299.0,20
1045,Yastık Kılıfı Keten,189.0,75
1046,İstatistiğe Giriş,330.0,12
1047,Kamp Matarası,329.9,41
1048,Soundbar 2.1,5749.0,3
1049,Zımba Makinesi,139.9,88
1050,Oyun Kolu Kablosuz,1599.9,14
