id,ad,kategori,fiyat,stok
1001,Kablosuz Kulaklık X200,Ses,1249.90,24
1002,Akıllı Saat Fit 3,Elektronik,2899.00,12
1003,Seramik Kupa Seti (4'lü),Ev & Yaşam,349.50,40
1004,Python ile Otomasyon,Kitap,289.00,18
1005,Yoga Matı 6 mm,Spor,459.90,0
1006,Mekanik Klavye TR Q,Elektronik,1899.00,7
1007,Kulak İçi Kulaklık Mini,Ses,499.90,55
1008,Masa Lambası LED,Ofis,649.00,15
1009,Termos 750 ml,Ev & Yaşam,389.90,33
1010,Koşu Ayakkabısı Hafif,Spor,1749.00,9
1011,Bluetooth Hoparlör Taşınabilir,Ses,999.00,21
1012,Web Kamerası 1080p,Elektronik,1149.90,3
1013,Not Defteri A5 Noktalı,Ofis,119.90,120
1014,Veri Bilimine Giriş,Kitap,315.00,11
1015,Dambıl Seti 2×5 kg,Spor,899.00,6
1016,Kablosuz Mouse Sessiz,Elektronik,379.90,48
1017,Kahve Değirmeni Manuel,Ev & Yaşam,729.00,14
1018,Gürültü Önleyici Kulaklık,Ses,3499.00,5
1019,Ergonomik Sandalye Minderi,Ofis,549.00,22
1020,Algoritmalar Kolay Anlatım,Kitap,342.50,0
1021,USB-C Çoklayıcı 7'si 1 Arada,Elektronik,849.90,30
1022,Bambu Kesme Tahtası,Ev & Yaşam,229.90,60
1023,Atlama İpi Rulmanlı,Spor,189.90,44
1024,Masaüstü Mikrofon USB,Ses,1399.00,8
1025,Kalem Seti 12 Renk,Ofis,99.90,200
1026,Taşınabilir SSD 1 TB,Elektronik,2649.00,10
1027,Linux Komut Satırı,Kitap,268.00,25
1028,Aroma Difüzörü,Ev & Yaşam,579.00,2
1029,Bisiklet Kaskı,Spor,1099.00,13
1030,Kulaklık Standı Ahşap,Ses,399.00,35
1031,Monitör Yükseltici,Ofis,489.90,17
1032,Akıllı Priz Wi-Fi,Elektronik,319.90,64
1033,Cam Saklama Kabı Seti,Ev & Yaşam,449.00,27
1034,Temiz Kod Rehberi,Kitap,395.00,9
1035,Pilates Topu 65 cm,Spor,279.90,19
1036,Pikap Plak Çalar,Ses,4299.00,4
1037,Dosya Organizeri,Ofis,179.90,53
1038,Powerbank 20000 mAh,Elektronik,949.00,0
1039,Çelik Tencere Seti,Ev & Yaşam,2199.00,6
1040,Web Tasarımın Temelleri,Kitap,299.90,16
1041,Direnç Bandı Seti,Spor,249.00,38
1042,Çocuk Kulaklık Renkli,Ses,449.90,29
1043,Yazı Tahtası Beyaz,Ofis,899.90,5
1044,Tablet Kalemi,Elektronik,1299.00,20
1045,Yastık Kılıfı Keten,Ev & Yaşam,189.00,75
1046,İstatistiğe Giriş,Kitap,330.00,12
1047,Kamp Matarası,Spor,329.90,41
1048,Soundbar 2.1,Ses,5749.00,3
1049,Zımba Makinesi,Ofis,139.90,88
1050,Oyun Kolu Kablosuz,Elektronik,1599.90,14
